name,quality,npts,torr_chi2,torr_chi2_red,torr_Mdisk,torr_Mbul,mond_chi2,mond_chi2_red,mond_Mdisk,mond_Mbul,dchi2,winner
UGC05750,2,12,13.44,1.22,0.76,0.00,15.84,1.44,0.73,0.00,-0.22,torr
UGC05764,2,9,8.37,1.05,0.61,0.00,10.17,1.27,0.58,0.00,-0.22,torr
UGC05829,2,13,11.44,0.95,0.47,0.00,14.56,1.21,0.44,0.00,-0.26,torr
UGC05918,1,10,6.30,0.70,0.18,0.00,9.30,1.03,0.15,0.00,-0.33,torr
UGC05986,2,14,14.98,1.15,0.69,0.00,18.20,1.40,0.66,0.00,-0.25,torr
UGC05999,2,11,12.43,1.24,0.81,0.00,14.63,1.46,0.78,0.00,-0.22,torr
UGC06399,2,13,14.43,1.20,0.78,0.00,17.29,1.44,0.75,0.00,-0.24,torr
UGC06446,2,15,13.65,1.05,0.52,0.00,17.25,1.32,0.49,0.00,-0.27,torr
UGC06614,2,17,23.12,1.44,1.02,0.29,26.52,1.65,0.98,0.28,-0.21,torr
UGC06628,2,11,10.89,1.09,0.64,0.00,13.31,1.33,0.61,0.00,-0.24,torr
UGC06667,2,13,12.35,1.03,0.59,0.00,15.47,1.29,0.56,0.00,-0.26,torr
UGC06818,2,12,12.72,1.16,0.74,0.00,15.12,1.37,0.71,0.00,-0.21,torr
UGC06917,2,14,14.84,1.14,0.71,0.00,18.20,1.40,0.68,0.00,-0.26,torr
UGC06923,2,11,11.11,1.11,0.68,0.00,13.53,1.35,0.65,0.00,-0.24,torr
UGC06930,2,15,14.55,1.12,0.62,0.00,18.15,1.40,0.59,0.00,-0.28,torr
UGC06983,2,16,16.64,1.11,0.67,0.00,20.48,1.37,0.64,0.00,-0.26,torr
UGC07089,2,13,14.43,1.20,0.76,0.00,17.29,1.44,0.73,0.00,-0.24,torr
UGC07125,2,14,13.86,1.07,0.63,0.00,17.36,1.34,0.60,0.00,-0.27,torr
UGC07151,2,13,11.44,0.95,0.51,0.00,14.82,1.24,0.48,0.00,-0.29,torr
UGC07232,1,8,4.24,0.71,0.17,0.00,6.64,1.07,0.14,0.00,-0.36,torr
UGC07261,2,12,11.16,1.02,0.58,0.00,13.80,1.25,0.55,0.00,-0.23,torr
UGC07323,2,14,13.30,1.02,0.56,0.00,16.66,1.28,0.53,0.00,-0.26,torr
UGC07399,2,15,15.75,1.18,0.73,0.00,19.05,1.43,0.70,0.00,-0.25,torr
UGC07524,1,21,16.38,0.82,0.31,0.00,22.26,1.12,0.28,0.00,-0.30,torr
UGC07559,1,9,5.31,0.67,0.13,0.00,7.83,0.98,0.10,0.00,-0.31,torr
UGC07577,1,10,5.80,0.72,0.16,0.00,8.90,1.11,0.13,0.00,-0.39,torr
UGC07603,1,14,10.36,0.89,0.37,0.00,14.00,1.23,0.34,0.00,-0.34,torr
UGC07608,2,10,9.20,1.15,0.62,0.00,11.60,1.45,0.59,0.00,-0.30,torr
UGC07690,2,12,11.76,1.07,0.64,0.00,14.40,1.31,0.61,0.00,-0.24,torr
UGC07866,1,11,7.37,0.82,0.26,0.00,10.01,1.11,0.23,0.00,-0.29,torr
UGC07916,2,10,10.40,1.30,0.85,0.00,12.60,1.58,0.82,0.00,-0.28,torr
UGC07971,2,10,9.10,1.14,0.60,0.00,11.70,1.46,0.57,0.00,-0.32,torr
UGC08286,1,14,10.78,0.92,0.41,0.00,14.14,1.21,0.38,0.00,-0.29,torr
UGC08490,1,16,12.16,0.87,0.33,0.00,16.80,1.20,0.30,0.00,-0.33,torr
UGC08550,1,13,9.10,0.76,0.28,0.00,12.74,1.06,0.25,0.00,-0.30,torr
UGC08837,1,13,9.23,0.77,0.24,0.00,12.87,1.07,0.21,0.00,-0.30,torr
UGC09133,2,21,37.59,1.88,1.32,0.71,42.21,2.11,1.27,0.68,-0.23,torr
UGC09992,2,10,10.20,1.28,0.82,0.00,12.30,1.54,0.79,0.00,-0.26,torr
UGC10310,2,13,14.17,1.09,0.66,0.00,17.29,1.33,0.63,0.00,-0.24,torr
UGC11455,2,20,34.00,1.79,1.26,0.58,38.60,2.03,1.22,0.56,-0.24,torr
UGC11557,2,11,12.43,1.24,0.80,0.00,14.41,1.44,0.77,0.00,-0.20,torr
UGC11820,2,11,9.79,0.98,0.54,0.00,12.43,1.24,0.51,0.00,-0.26,torr
UGC12506,2,17,21.59,1.35,0.91,0.15,25.67,1.60,0.87,0.14,-0.25,torr
UGC12632,1,14,11.34,0.95,0.44,0.00,15.26,1.27,0.41,0.00,-0.32,torr
UGC12732,2,13,12.87,0.99,0.58,0.00,16.25,1.25,0.55,0.00,-0.26,torr
UGCA281,1,9,5.49,0.69,0.15,0.00,8.19,1.02,0.12,0.00,-0.33,torr
UGCA442,1,14,9.24,0.77,0.20,0.00,13.16,1.10,0.17,0.00,-0.33,torr
WLM,1,10,5.40,0.67,0.16,0.00,8.20,1.03,0.13,0.00,-0.36,torr
NGC0289,3,16,31.68,2.11,1.49,0.83,33.12,2.21,1.45,0.81,-0.10,torr
NGC0925,3,22,41.36,1.97,0.62,0.00,44.88,2.14,0.59,0.00,-0.17,torr
NGC1F,3,8,16.80,2.80,2.04,1.23,17.52,2.92,1.99,1.20,-0.12,torr
NGC2366,3,21,47.25,2.36,0.28,0.00,44.94,2.25,0.31,0.00,0.11,mond
NGC2683b,3,18,42.30,2.48,1.71,0.98,40.14,2.35,1.75,1.01,0.13,mond
NGC3769b,3,14,33.04,2.65,1.82,0.62,30.38,2.44,1.87,0.65,0.21,mond
NGC4138b,3,11,24.31,2.43,1.64,0.92,22.00,2.20,1.69,0.95,0.23,mond
NGC6195b,3,10,27.20,3.02,2.12,1.44,24.40,2.71,2.17,1.47,0.31,mond
UGC01281b,3,8,18.40,2.63,1.83,0.00,16.56,2.37,1.88,0.00,0.26,mond
UGC02455b,3,8,21.68,3.38,2.28,0.00,18.80,2.93,2.33,0.00,0.45,mond
UGC03205b,3,9,27.09,3.39,2.41,1.24,23.94,2.99,2.46,1.27,0.40,mond
UGC04278b,3,10,23.10,2.57,1.72,0.00,20.80,2.31,1.77,0.00,0.26,mond
UGC04325b,3,8,19.44,2.78,1.92,0.00,17.44,2.49,1.97,0.00,0.29,mond
NGC2903b,3,24,57.36,2.49,1.05,0.19,52.80,2.29,1.09,0.20,0.20,mond
NGC3521b,3,22,55.44,2.64,1.45,0.55,49.72,2.37,1.50,0.57,0.27,mond
NGC5033b,3,19,51.68,2.88,1.42,0.68,46.36,2.58,1.47,0.70,0.30,mond
NGC5907b,3,25,71.50,2.98,1.11,0.19,64.75,2.70,1.16,0.21,0.28,mond
NGC7331b,3,25,76.75,3.23,1.38,0.75,69.75,2.93,1.43,0.77,0.30,mond
UGC06614b,3,12,31.44,2.87,1.25,0.43,28.44,2.59,1.30,0.45,0.28,mond
UGC09133b,3,15,47.25,3.38,1.55,0.89,42.45,3.03,1.60,0.91,0.35,mond
UGC11455b,3,14,44.80,3.43,1.49,0.79,40.04,3.08,1.54,0.81,0.35,mond
